day,rainfall_mm,recharge_true_mm,sy_true,h_true_m,h_with_pumping_m,h_observed_m
0,0.0,0.0,0.14230000000000004,1.0,1.0,1.0408183824277037
1,0.0,0.0,0.14380000000000004,0.9953455841920648,0.9953455841920648,0.9442322835657811
2,6.519858617808106,0.029127009709623654,0.14205463419595082,0.9911904744146055,0.9911904744146055,0.9995524513491211
3,4.689522576951017,0.04109996017917557,0.14123042288756488,0.9867700000163571,0.9867700000163571,0.9754146078937984
4,0.0,0.03826664317014786,0.14274955620914997,0.9808240062882693,0.9808240062882693,0.9717710204460603
5,0.0,0.035628647159939825,0.14426737053272992,0.9770933105097458,0.9770933105097458,0.9727813672479505
6,0.0,0.033172507261827404,0.14578395678636086,0.972901181145074,0.972901181145074,0.932501458562129
7,0.0,0.03088568682094891,0.14729939962977134,0.9677272676680866,0.9677272676680866,0.9630886201152028
8,0.0,0.02875651342458059,0.14881377788648364,0.9636794290857169,0.9636794290857169,0.9463751675602181
9,0.0,0.026774119323686053,0.1503271649461455,0.9594188425825091,0.9594188425825091,
10,0.0,0.02492838596163833,0.15183962913912635,0.9550939865288799,0.9550939865288799,0.9596097187934384
11,6.483139590309674,0.05203305020997863,0.1501240758690765,0.9505111145939265,0.9505111145939265,0.9434584987070945
12,0.0,0.04844603636498168,0.151648298887259,0.9466518723107435,0.9466518723107435,0.9410261239477166
13,1.6579415107350481,0.045106301283622016,0.1523418812825333,0.9415016219667562,0.9415016219667562,0.9281406950445772
14,0.0,0.04199679825529625,0.15386287968166096,0.9369272899287677,0.9369272899287677,0.9158242789046653
15,0.1885695955331076,0.039101655722245186,0.15528814571175553,0.932033483680597,0.932033483680597,0.9242174641359039
16,0.0,0.0364060962677833,0.1568063487598894,0.9282239631228628,0.9282239631228628,0.9378628708929986
17,0.0,0.03389636118925458,0.15832329694048403,0.9238547377505808,0.9238547377505808,0.9190836656191135
18,0.0,0.03155964027071892,0.15983907676061937,0.9191571031631112,0.9191571031631112,0.9383122772223065
19,0.0,0.029384006396914575,0.16135376876381785,0.9139768555222821,0.9139768555222821,0.9099808129409506
20,3.1287193390018424,0.028423513774596173,0.16130362085120425,0.9093318882080825,0.9093318882080825,0.9098170795096158
21,1.3088788738247243,0.026464075743931094,0.16216241345216387,0.9049695822044722,0.9049695822044722,0.9358859992287285
22,0.0,0.02463971592444229,0.1636747333101261,0.9003323262690144,0.9003323262690144,0.9112344367227673
23,0.0,0.022941122399728713,0.165186203871326,0.897275269194833,0.897275269194833,0.8871706944825527
24,0.0,0.02135962519102164,0.1666968836839215,0.893934497541957,0.893934497541957,
25,0.0,0.019887152003788676,0.16820682725992336,0.8868817970953693,0.8868817970953693,0.8976922997304654
26,0.0,0.01851618702504391,0.1697160853534359,0.8806766052135946,0.8806766052135946,0.9193783658955716
27,0.0,0.01723973256105694,0.17122470521971644,0.8762075510506724,0.8762075510506724,0.8708151445038341
28,0.0,0.01605127331965163,0.17273273085637625,0.8715050077268327,0.8715050077268327,0.8666338341452506
29,0.0,0.01494474315478386,0.17424020322795364,0.8674540511737623,0.8674540511737623,0.8875003231992761
30,0.0,0.01391449410365573,0.1757471604750055,0.8634198737724912,0.8634198737724912,0.8456906749092794
31,0.0,0.012955267558324938,0.17725363810878464,0.8612997865237916,0.8612997865237916,0.8554653818749943
32,5.015249288617547,0.028738458142677514,0.1762603826935472,0.8559543556953525,0.8559543556953525,0.8736051350444822
33,0.0,0.02675730872272903,0.17777376134790857,0.8514600243865798,0.8514600243865798,0.8630670247103978
34,0.0,0.02491273423678279,0.17928621771502695,0.849396009134163,0.849396009134163,0.85122634319981
35,0.0,0.023195319588526563,0.1807978153748212,0.8459346871842789,0.8459346871842789,0.8593367742808484
36,0.0,0.02159629873221671,0.1823086135241873,0.8424963713677657,0.8424963713677657,0.7859331252308904
37,0.0,0.020107509928936153,0.18381866727915178,0.8378883432509957,0.8378883432509957,0.8583144796009973
38,0.0,0.018721354087361527,0.18532802795619546,0.8321602141112046,0.8321602141112046,0.8129673189150417
39,0.0,0.017430755976402097,0.18683674333418365,0.8282678951770801,0.8282678951770801,0.7948954983239607
40,0.0,0.01622912811173144,0.18834485789823951,0.8243288638363506,0.8243288638363506,0.8298577790267706
41,0.0,0.015110337131881375,0.18985241306680545,0.8190660345518103,0.8190660345518103,0.8330769322587981
42,0.0,0.014068672492274384,0.19135944740305158,0.8143670676307607,0.8143670676307607,0.8054717185171051
43,0.0,0.01309881731740251,0.1928659968117103,0.8102967082257506,0.8102967082257506,0.7887685914237345
44,0.0,0.01219582126237597,0.1943720947223415,0.8053683897370454,0.8053683897370454,0.8058908864077261
45,0.0,0.011355075245321195,0.19587777225996414,0.8013060225333218,0.8013060225333218,0.8002510763684643
46,0.0,0.01057228792165709,0.19738305840392498,0.7974529456563535,0.7974529456563535,0.8255649089767153
47,0.0,0.009843463780169315,0.19888798013581507,0.7935548294516128,0.7935548294516128,0.8085029892011998
48,3.9444635273493955,0.016980366641618574,0.19842423855546118,0.7891302561481688,0.7891302561481688,0.7930065690734612
49,0.0,0.01580978736573885,0.19993214344914406,0.7858639290097847,0.7858639290097847,0.8080965931142646
50,0.0,0.014719904571274353,0.2014395034014297,0.7829048520848905,0.7829048520848905,0.7787943910867746
51,0.0,0.013705155267108653,0.20294635597906324,0.7793842497035932,0.7793842497035932,0.7608662582306258
52,0.0,0.012760359959269411,0.20445273615904289,0.7747366291532883,0.7747366291532883,0.7864177953737933
53,5.565609167100486,0.033111243015541414,0.20318648719700041,0.7716570105641828,0.7716570105641828,0.7833077789372966
54,0.0,0.030828645961505394,0.20470190151998116,0.7674602453603167,0.7674602453603167,0.7631636671377795
55,1.2421930316824712,0.02870340480343041,0.20559515670654163,0.7646527073877951,0.7646527073877951,0.7489965358285158
56,0.0,0.02672467186325172,0.20710851904247327,0.7598972677228011,0.7598972677228011,0.7644803458270664
57,0.0,0.02488234727167703,0.2086209602161091,0.7571412856350762,0.7571412856350762,0.7072634000659164
58,0.0,0.023167027416328423,0.21013254372981727,0.75345478635312,0.75345478635312,0.7672572817563763
